neuron_id,cell_type,observed,seed,teacher_rate_hz,student_rate_hz,fluctuation_r2
3924,inhibitory,0,44,4.968944099378882,5.357142857142857,0.7562389969825745
3925,excitatory,0,44,0.0,0.0,
3926,excitatory,0,44,1.3198757763975155,0.8540372670807453,0.5214250087738037
3927,inhibitory,0,44,0.0,0.0,
3928,excitatory,0,44,0.6987577639751552,0.0,-0.0659632682800293
3929,excitatory,0,44,17.701863354037265,13.12111801242236,0.553228497505188
3930,excitatory,0,44,0.0,0.0,
3931,excitatory,0,44,4.192546583850931,2.795031055900621,0.5644393563270569
3932,excitatory,0,44,0.0,0.0,
3933,excitatory,0,44,7.142857142857142,5.046583850931676,0.28173524141311646
3934,excitatory,0,44,0.6987577639751552,0.3105590062111801,-0.7043517827987671
3935,inhibitory,0,44,0.7763975155279502,1.6304347826086956,-0.16843128204345703
3936,excitatory,0,44,30.978260869565215,32.8416149068323,0.9441803693771362
3937,inhibitory,0,44,181.444099378882,181.67701863354037,0.7038755416870117
3938,excitatory,0,44,0.3105590062111801,0.3881987577639751,0.8221533894538879
3939,excitatory,0,44,0.8540372670807453,0.6211180124223602,-0.2272334098815918
3940,excitatory,0,44,0.0,0.0,
3941,excitatory,0,44,1.6304347826086956,1.7080745341614907,0.951217532157898
3942,excitatory,0,44,0.15527950310559005,0.3105590062111801,0.4314078688621521
3943,excitatory,0,44,2.950310559006211,3.571428571428571,0.7569901943206787
3944,inhibitory,0,44,6.521739130434782,6.987577639751552,0.12579387426376343
3945,excitatory,0,44,0.0,0.0,
3946,excitatory,0,44,0.3881987577639751,0.3105590062111801,0.6983453035354614
3947,excitatory,0,44,0.0,0.0,
3948,excitatory,0,44,2.872670807453416,1.7857142857142856,-0.11673688888549805
3949,excitatory,0,44,1.0093167701863353,1.9409937888198756,0.28541427850723267
3950,excitatory,0,44,0.15527950310559005,0.15527950310559005,0.9979450106620789
3951,excitatory,0,44,0.6211180124223602,0.3881987577639751,0.7450591325759888
3952,excitatory,0,44,0.0,0.0,
