obs_fraction,n_observed,seed,evaluation,group,cell_type,n_cells,metric,value,ceiling_value
0.05,250,44,perturbation,targeted,inhibitory,238,delta_fluctuation_r2,0.630936861038208,0.6950088739395142
0.05,250,45,perturbation,unobserved,excitatory,3792,delta_activity_r2,0.009765604765620384,0.9265046427399678
0.05,250,45,perturbation,unobserved,excitatory,3792,delta_fluctuation_r2,0.007055699825286865,0.5265673398971558
0.05,250,45,perturbation,unobserved,inhibitory,718,delta_activity_r2,-0.5023986443500348,0.9089262025010074
0.05,250,45,perturbation,unobserved,inhibitory,718,delta_fluctuation_r2,-0.5209760665893555,0.5132145881652832
0.05,250,45,perturbation,targeted,inhibitory,240,delta_activity_r2,-1.580020113118136,0.9654562579902395
0.05,250,45,perturbation,targeted,inhibitory,240,delta_fluctuation_r2,-1.0164875984191895,0.6405115127563477
0.05,250,46,perturbation,unobserved,excitatory,3801,delta_activity_r2,0.07405754733851255,0.8924431520033168
0.05,250,46,perturbation,unobserved,excitatory,3801,delta_fluctuation_r2,0.05350041389465332,0.4675830006599426
0.05,250,46,perturbation,unobserved,inhibitory,712,delta_activity_r2,0.011712433219769558,0.887744711846546
0.05,250,46,perturbation,unobserved,inhibitory,712,delta_fluctuation_r2,0.12097811698913574,0.49264228343963623
0.05,250,46,perturbation,targeted,inhibitory,237,delta_activity_r2,0.6314809387803191,0.956284986989758
0.05,250,46,perturbation,targeted,inhibitory,237,delta_fluctuation_r2,0.20355045795440674,0.5611952543258667
0.1,500,44,perturbation,unobserved,excitatory,3602,delta_activity_r2,0.8578291008709742,0.9606201220657703
0.1,500,44,perturbation,unobserved,excitatory,3602,delta_fluctuation_r2,0.48483026027679443,0.7626428604125977
0.1,500,44,perturbation,unobserved,inhibitory,674,delta_activity_r2,0.8459277680618823,0.9573615737885288
0.1,500,44,perturbation,unobserved,inhibitory,674,delta_fluctuation_r2,0.5025458931922913,0.7626772522926331
0.1,500,44,perturbation,targeted,inhibitory,224,delta_activity_r2,0.8954624325997009,0.9905794043602559
0.1,500,44,perturbation,targeted,inhibitory,224,delta_fluctuation_r2,0.6123110055923462,0.8338922262191772
0.1,500,45,perturbation,unobserved,excitatory,3596,delta_activity_r2,0.06619526429951628,0.9397869103807188
0.1,500,45,perturbation,unobserved,excitatory,3596,delta_fluctuation_r2,0.08669865131378174,0.7534732222557068
0.1,500,45,perturbation,unobserved,inhibitory,678,delta_activity_r2,-0.4360070477056943,0.927426771617351
0.1,500,45,perturbation,unobserved,inhibitory,678,delta_fluctuation_r2,-0.4238346815109253,0.7224626541137695
0.1,500,45,perturbation,targeted,inhibitory,226,delta_activity_r2,-0.7266264201351225,0.8928272959509544
0.1,500,45,perturbation,targeted,inhibitory,226,delta_fluctuation_r2,-0.7591363191604614,0.7698076963424683
0.1,500,46,perturbation,unobserved,excitatory,3601,delta_activity_r2,0.8893976184742235,0.9690600522422532
0.1,500,46,perturbation,unobserved,excitatory,3601,delta_fluctuation_r2,0.5692668557167053,0.7112083435058594
0.1,500,46,perturbation,unobserved,inhibitory,674,delta_activity_r2,0.9004826606301263,0.96679582348694
0.1,500,46,perturbation,unobserved,inhibitory,674,delta_fluctuation_r2,0.5716251134872437,0.7120620608329773
0.1,500,46,perturbation,targeted,inhibitory,225,delta_activity_r2,0.9279667440103588,0.9814504763347851
0.1,500,46,perturbation,targeted,inhibitory,225,delta_fluctuation_r2,0.6533514857292175,0.7706511616706848
0.25,1250,44,perturbation,unobserved,excitatory,3004,delta_activity_r2,0.9669339296824264,0.9952653953971076
0.25,1250,44,perturbation,unobserved,excitatory,3004,delta_fluctuation_r2,0.8663671016693115,0.9343271851539612
0.25,1250,44,perturbation,unobserved,inhibitory,560,delta_activity_r2,0.9356019361296428,0.9921093042529524
0.25,1250,44,perturbation,unobserved,inhibitory,560,delta_fluctuation_r2,0.8491584062576294,0.9390698671340942
0.25,1250,44,perturbation,targeted,inhibitory,186,delta_activity_r2,0.9656939365179452,0.9986483873978242
0.25,1250,44,perturbation,targeted,inhibitory,186,delta_fluctuation_r2,0.8653531074523926,0.9501971006393433
0.25,1250,45,perturbation,unobserved,excitatory,2978,delta_activity_r2,0.46162049134420113,0.9777661489291019
0.25,1250,45,perturbation,unobserved,excitatory,2978,delta_fluctuation_r2,0.3624693751335144,0.9337450265884399
0.25,1250,45,perturbation,unobserved,inhibitory,579,delta_activity_r2,0.25339063583127996,0.981228358227692
0.25,1250,45,perturbation,unobserved,inhibitory,579,delta_fluctuation_r2,0.13904696702957153,0.9332556128501892
0.25,1250,45,perturbation,targeted,inhibitory,193,delta_activity_r2,0.319204472072823,0.9691881606906857
0.25,1250,45,perturbation,targeted,inhibitory,193,delta_fluctuation_r2,0.04337674379348755,0.9142522215843201
0.25,1250,46,perturbation,unobserved,excitatory,3004,delta_activity_r2,0.9692209830035251,0.9946117245661061
0.25,1250,46,perturbation,unobserved,excitatory,3004,delta_fluctuation_r2,0.8536592721939087,0.9250729084014893
0.25,1250,46,perturbation,unobserved,inhibitory,560,delta_activity_r2,0.9796832797187205,0.9954304501952681
0.25,1250,46,perturbation,unobserved,inhibitory,560,delta_fluctuation_r2,0.8862110376358032,0.9414517879486084
0.25,1250,46,perturbation,targeted,inhibitory,186,delta_activity_r2,0.9698381757425173,0.998272439223637
0.25,1250,46,perturbation,targeted,inhibitory,186,delta_fluctuation_r2,0.9033448100090027,0.9593923091888428
