# Cumulative fraction of synaptic input volume, largest presynaptic partners first.
# Per-cell curves resampled from original presynaptic partners count onto 390 inputs.
# Dense connectome 230219a-rsg11-std-spl-edges_ariadne-20260417T142327_run-20260417T143444_connectome-20260421T131207.hdf5; synapse score > 138.6; proofread cells only.
x_inputs_resampled,spiny_median,spiny_q25,spiny_q75,smooth_median,smooth_q25,smooth_q75
139,0.6783021386484032,0.665979165110594,0.7003279464550206,0.787052313722165,0.6731853464547755,0.8512416309249579
140,0.6809462032552771,0.6686344500012995,0.7029061167506085,0.7898928287096577,0.6757736601350528,0.853318714443768
141,0.6835844855757665,0.6712216417142364,0.7054499618531467,0.7925024190091249,0.6783576421321809,0.854999290709503
142,0.6861847112610746,0.6737766912025649,0.707877616648725,0.7951120093085922,0.6809307453773682,0.8565213123879749
143,0.6887589853523164,0.6763112620300016,0.7102908382369182,0.7977215996080593,0.6834876295189113,0.8580433340664468
144,0.6913253636345218,0.6788478937175959,0.7128025553229581,0.8003311899075265,0.6860336462709089,0.8595653557449189
145,0.6938888474144274,0.6814816680465857,0.715301422013858,0.8034120724386109,0.6885716437435327,0.8610469013174208
146,0.6964571991970345,0.6840333352843979,0.7178026772481588,0.8066981765626181,0.6910991000962401,0.8624960660051466
147,0.698989122258155,0.6864989389327317,0.7203139076700045,0.8096566650735031,0.693605234464703,0.8638402210408687
148,0.7014930679573843,0.6890169357974146,0.7228031836971383,0.812505948380014,0.6960985088020617,0.8650047217892299
149,0.7040079236709178,0.6915394775794014,0.7252697272936336,0.8153552316865248,0.6985839959359695,0.866273697330009
150,0.7065097841753889,0.6940177678050565,0.7277210498174387,0.8182045149930357,0.7010560143751983,0.8684017902284058
151,0.7089994181347505,0.6965048285813222,0.7300940832397977,0.8210537982995466,0.7035179550292469,0.8699856741964731
152,0.7114504114161027,0.6990820211696158,0.7324270888686596,0.8239030816060574,0.7059728005490051,0.8717117386606648
153,0.7138486187885589,0.7016223102329027,0.7347246317914307,0.8260680927748169,0.7084201129404453,0.8733142598392467
154,0.7162555611509843,0.704118270720753,0.7370090322569786,0.8284526855128529,0.7108595245146853,0.8749167810178287
155,0.7186477678037615,0.706539393424763,0.7392830456123262,0.8316262947259825,0.7132798496174599,0.8765229279382896
156,0.7210381963828425,0.70897346045436,0.7415436448002438,0.8347999039391122,0.7156846170173403,0.8783023603265745
157,0.7234135995487935,0.7114185288206321,0.743791054922211,0.837172216298678,0.7180854629333406,0.8797861807459264
158,0.7258077728987175,0.7139068972701674,0.7460180419534774,0.8395445286582438,0.7204763500906093,0.8813257791831377
159,0.7281901869104628,0.7163892105774109,0.7481954373110781,0.8419168410178096,0.722851951092425,0.8827001425976375
160,0.7304985852066438,0.7188576164758465,0.7503600872057775,0.8442891533773754,0.7252106623222389,0.8842258499703742
161,0.7327838466435903,0.7213053487688962,0.7525193371547099,0.8466614657369413,0.7275626290190216,0.8859849867915857
162,0.7350619368974909,0.7237486187251216,0.754663654864451,0.8490337780965072,0.7299041615184938,0.8874278125140325
