variant,n_free_params,observed_fraction,seed,evaluation,group,cell_type,n_cells,metric,value,ceiling_value
full_connectome,6,0.25,44,perturbation,targeted,inhibitory,186,delta_activity_r2,0.9656939365179452,0.9986483873978242
full_connectome,6,0.25,44,perturbation,targeted,inhibitory,186,delta_fluctuation_r2,0.8653531074523926,0.9501971006393433
full_connectome,6,0.5,44,perturbation,unobserved,excitatory,2003,delta_activity_r2,0.9937250850985445,0.9993396584592613
full_connectome,6,0.5,44,perturbation,unobserved,excitatory,2003,delta_fluctuation_r2,0.9611474871635437,0.9916563630104065
full_connectome,6,0.5,44,perturbation,unobserved,inhibitory,373,delta_activity_r2,0.9832656489659024,0.9993146360140089
full_connectome,6,0.5,44,perturbation,unobserved,inhibitory,373,delta_fluctuation_r2,0.9451270699501038,0.9927361607551575
full_connectome,6,0.5,44,perturbation,targeted,inhibitory,124,delta_activity_r2,0.984885390909678,0.9997619566864163
full_connectome,6,0.5,44,perturbation,targeted,inhibitory,124,delta_fluctuation_r2,0.9569846391677856,0.9941699504852295
configuration_model,6,0.5,44,perturbation,unobserved,excitatory,2003,delta_activity_r2,-0.01442632911168551,0.9993396584592613
configuration_model,6,0.5,44,perturbation,unobserved,excitatory,2003,delta_fluctuation_r2,-0.02885913848876953,0.9916563630104065
configuration_model,6,0.5,44,perturbation,unobserved,inhibitory,373,delta_activity_r2,-0.09105928850830192,0.9993146360140089
configuration_model,6,0.5,44,perturbation,unobserved,inhibitory,373,delta_fluctuation_r2,-0.07408630847930908,0.9927361607551575
configuration_model,6,0.5,44,perturbation,targeted,inhibitory,124,delta_activity_r2,-0.11454123724396714,0.9997619566864163
configuration_model,6,0.5,44,perturbation,targeted,inhibitory,124,delta_fluctuation_r2,-0.1267225742340088,0.9941699504852295
learnt_recurrence,25000002,0.5,44,perturbation,unobserved,excitatory,2003,delta_activity_r2,-0.08483147739660146,0.9993396584592613
learnt_recurrence,25000002,0.5,44,perturbation,unobserved,excitatory,2003,delta_fluctuation_r2,-0.0663766860961914,0.9916563630104065
learnt_recurrence,25000002,0.5,44,perturbation,unobserved,inhibitory,373,delta_activity_r2,-0.05502237425900147,0.9993146360140089
learnt_recurrence,25000002,0.5,44,perturbation,unobserved,inhibitory,373,delta_fluctuation_r2,-0.043314576148986816,0.9927361607551575
learnt_recurrence,25000002,0.5,44,perturbation,targeted,inhibitory,124,delta_activity_r2,-0.5802178885382332,0.9997619566864163
learnt_recurrence,25000002,0.5,44,perturbation,targeted,inhibitory,124,delta_fluctuation_r2,-0.2474910020828247,0.9941699504852295
shuffle_weights,6,0.5,44,perturbation,unobserved,excitatory,2003,delta_activity_r2,-0.022532793956227204,0.9993396584592613
shuffle_weights,6,0.5,44,perturbation,unobserved,excitatory,2003,delta_fluctuation_r2,-0.037784695625305176,0.9916563630104065
shuffle_weights,6,0.5,44,perturbation,unobserved,inhibitory,373,delta_activity_r2,-0.03330095524530097,0.9993146360140089
shuffle_weights,6,0.5,44,perturbation,unobserved,inhibitory,373,delta_fluctuation_r2,-0.040610432624816895,0.9927361607551575
shuffle_weights,6,0.5,44,perturbation,targeted,inhibitory,124,delta_activity_r2,-0.1632682557389793,0.9997619566864163
shuffle_weights,6,0.5,44,perturbation,targeted,inhibitory,124,delta_fluctuation_r2,-0.1133418083190918,0.9941699504852295
