component,eigenvalue,variance_fraction,cumulative_fraction
78,0.0029288938814268904,0.0020115558400625516,0.7575366719192453
79,0.002884220859208122,0.0019808745377090406,0.7595175464569544
80,0.0028471270677214466,0.0019553986290842,0.7614729450860386
81,0.00278856383480187,0.0019151775702266748,0.7633881226562652
82,0.002747525813406328,0.001886992775917023,0.7652751154321822
83,0.0026861635504020504,0.0018448493512991345,0.7671199647834813
84,0.002674581726499867,0.0018368949881667758,0.7689568597716481
85,0.0026208029698482514,0.0017999598937613896,0.7707568196654094
86,0.0025770392420822025,0.0017699030922060477,0.7725267227576155
87,0.0025602697188163376,0.0017583858321665404,0.7742851085897821
88,0.0025099157217905476,0.0017238028527591833,0.7760089114425412
89,0.002464358995765185,0.0016925146251891893,0.7777014260677304
90,0.002424506801684369,0.0016651442536469068,0.7793665703213773
91,0.002386851896472334,0.001639282973739637,0.781005853295117
92,0.0023594383000005398,0.001620455395031633,0.7826263086901486
93,0.002338028041101018,0.001605750891191568,0.7842320595813401
94,0.0022853091720631295,0.0015695437245314386,0.7858016033058716
95,0.0022662653804111322,0.0015564645035472194,0.7873580678094187
96,0.0022392782613299103,0.0015379298282766191,0.7888959976376954
97,0.002207089379313905,0.0015158225972789446,0.7904118202349742
98,0.002161718310429551,0.0014846618784960094,0.7918964821134703
99,0.0021421537964669626,0.0014712250269361103,0.7933677071404064
100,0.0021079567384382895,0.0014477385864656133,0.794815445726872
101,0.002076082258384022,0.0014258472858252218,0.7962412930126972
102,0.0020645070476301053,0.001417897464583951,0.7976591904772812
103,0.002013196972786729,0.0013826578536988486,0.79904184833098
104,0.0019801248082471396,0.0013599439868206434,0.8004017923178006
105,0.001966197985512905,0.0013503790852780456,0.8017521714030786
106,0.0019518265920498263,0.0013405088538456901,0.8030926802569244
107,0.001901276795993776,0.001305791400231092,0.8043984716571555
108,0.0018935490810584907,0.0013004840279814565,0.8056989556851369
109,0.001869264377897318,0.0012838053641425866,0.8069827610492796
110,0.00183276619499899,0.0012587385177722308,0.8082414995670518
111,0.0018152356946050878,0.0012466986208438404,0.8094881981878956
112,0.0018064903979947596,0.0012406923764451822,0.8107288905643408
113,0.0017658701261953394,0.0012127944913489681,0.8119416850556898
114,0.0017577189866739315,0.0012071963123191887,0.8131488813680089
115,0.001740312627800247,0.0011952416754275556,0.8143441230434364
