neuron_id,cell_type,assembly,odour_hz,odour_repeat_hz,baseline_hz
490,inhibitory,1,15.222222,22.444445,51.333332
491,excitatory,1,0.0,0.0,0.0
492,excitatory,1,9.666667,8.888889,9.333333
493,excitatory,1,0.0,0.0,0.0
494,excitatory,1,0.0,0.0,0.0
495,inhibitory,1,1.0,0.6666667,2.7777777
496,excitatory,1,8.555555,9.222222,7.4444447
497,excitatory,1,0.0,0.0,0.22222222
498,excitatory,1,18.11111,12.222222,5.2222223
499,excitatory,1,6.6666665,6.5555553,1.6666666
500,inhibitory,2,0.0,0.0,0.0
501,excitatory,2,2.0,3.0,4.111111
502,excitatory,2,0.22222222,0.22222222,0.11111111
503,excitatory,2,1.5555556,0.8888889,0.5555556
504,excitatory,2,0.0,0.0,0.0
505,excitatory,2,0.33333334,1.8888888,0.8888889
506,excitatory,2,0.33333334,0.22222222,0.11111111
507,excitatory,2,18.333334,41.11111,20.88889
508,excitatory,2,2.5555556,1.7777778,1.8888888
509,excitatory,2,0.0,0.0,0.0
510,excitatory,2,0.0,0.0,0.0
511,excitatory,2,0.22222222,0.33333334,0.44444445
512,excitatory,2,18.444445,23.222221,26.666666
513,excitatory,2,3.5555556,4.2222223,9.222222
514,excitatory,2,0.11111111,0.5555556,0.6666667
515,excitatory,2,0.7777778,0.8888889,0.0
516,inhibitory,2,39.88889,32.11111,26.0
517,excitatory,2,0.11111111,0.11111111,0.7777778
518,excitatory,2,2.2222223,2.3333333,2.5555556
519,excitatory,2,0.0,0.0,0.0
520,excitatory,2,0.0,0.0,0.0
521,excitatory,2,0.0,0.0,0.0
522,excitatory,2,0.0,0.0,0.0
523,inhibitory,2,28.11111,24.555555,8.444445
524,excitatory,2,2.8888888,3.5555556,5.4444447
525,excitatory,2,1.8888888,4.3333335,8.444445
526,excitatory,2,0.22222222,0.0,0.22222222
527,excitatory,2,0.0,0.0,0.0
528,inhibitory,2,2.2222223,7.111111,0.7777778
529,inhibitory,2,21.11111,17.333334,14.333333
530,excitatory,2,0.0,0.0,0.33333334
531,excitatory,2,7.5555553,4.111111,13.222222
532,excitatory,2,2.8888888,4.111111,2.3333333
533,inhibitory,2,21.333334,23.555555,12.777778
534,excitatory,2,0.0,0.0,0.11111111
535,excitatory,2,0.0,0.0,0.0
536,excitatory,2,0.11111111,0.44444445,0.5555556
537,excitatory,2,0.0,0.0,0.0
538,excitatory,2,0.0,0.0,0.0
539,excitatory,2,7.6666665,8.444445,7.3333335
540,excitatory,2,1.2222222,2.3333333,1.8888888
541,excitatory,2,0.44444445,0.11111111,0.5555556
542,excitatory,2,4.111111,3.3333333,0.44444445
543,excitatory,2,0.11111111,0.33333334,0.0
544,excitatory,2,133.11111,101.0,126.55556
545,inhibitory,2,43.333332,56.22222,9.222222
546,excitatory,2,1.6666666,2.0,1.0
547,inhibitory,2,3.2222223,1.6666666,0.0
548,inhibitory,2,204.33333,151.44444,186.22223
549,inhibitory,2,10.222222,9.888889,10.333333
550,inhibitory,2,2.8888888,7.111111,0.6666667
551,excitatory,2,0.0,0.11111111,0.0
552,excitatory,2,0.0,0.0,0.0
553,excitatory,2,21.0,26.222221,13.333333
554,excitatory,2,2.5555556,2.4444444,2.3333333
555,excitatory,2,1.7777778,3.0,3.7777777
556,excitatory,2,0.33333334,0.33333334,0.6666667
557,inhibitory,2,5.0,6.3333335,6.111111
558,excitatory,2,0.0,0.0,0.0
559,excitatory,2,0.0,0.0,0.0
560,excitatory,2,0.22222222,0.8888889,2.3333333
561,excitatory,2,0.5555556,1.5555556,0.6666667
562,inhibitory,2,0.5555556,0.22222222,0.22222222
563,excitatory,2,0.0,0.0,0.0
564,excitatory,2,0.0,0.0,0.0
565,inhibitory,2,0.0,0.0,0.0
566,excitatory,2,5.7777777,3.5555556,5.111111
567,excitatory,2,0.0,0.0,0.0
568,excitatory,2,0.0,0.0,0.11111111
