error_model,level,seed,neuron_id,cell_type,observed,kappa_lost,fluctuation_r2,teacher_rate_hz,student_rate_hz
synapse_dropout,0.0,44,1774,inhibitory,1,0.0,0.88490229845047,5.667701863354037,4.351708074534161
synapse_dropout,0.0,44,1775,excitatory,1,0.0,0.9607208967208862,1.5527950310559004,1.762422360248447
synapse_dropout,0.0,44,1776,excitatory,1,0.0,0.9481819272041321,0.6987577639751552,0.6288819875776397
synapse_dropout,0.0,44,1781,excitatory,1,0.0,0.9161171317100525,10.9472049689441,11.696428571428571
synapse_dropout,0.0,44,1783,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1786,excitatory,1,0.0,0.890694260597229,0.9316770186335404,1.0442546583850931
synapse_dropout,0.0,44,1788,excitatory,1,0.0,0.8248509168624878,0.9316770186335404,1.0520186335403725
synapse_dropout,0.0,44,1789,excitatory,1,0.0,0.8324654698371887,0.3881987577639751,0.3998447204968944
synapse_dropout,0.0,44,1790,excitatory,1,0.0,0.9740331172943115,32.065217391304344,33.02018633540372
synapse_dropout,0.0,44,1791,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1794,excitatory,1,0.0,0.9019365906715393,0.4658385093167702,0.3959627329192546
synapse_dropout,0.0,44,1796,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1798,excitatory,1,0.0,0.9429376721382141,19.642857142857142,20.027173913043477
synapse_dropout,0.0,44,1800,excitatory,1,0.0,0.924964964389801,4.037267080745341,4.600155279503105
synapse_dropout,0.0,44,1803,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1805,inhibitory,1,0.0,0.8967682123184204,12.18944099378882,8.74611801242236
synapse_dropout,0.0,44,1808,excitatory,1,0.0,0.988226056098938,18.322981366459626,18.1444099378882
synapse_dropout,0.0,44,1810,excitatory,1,0.0,0.7982600331306458,0.5434782608695652,0.6715838509316769
synapse_dropout,0.0,44,1811,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1812,excitatory,1,0.0,0.9473413825035095,10.791925465838508,9.53027950310559
synapse_dropout,0.0,44,1813,inhibitory,1,0.0,0.9303490519523621,14.440993788819874,11.467391304347824
synapse_dropout,0.0,44,1815,excitatory,1,0.0,0.9258904457092285,1.2422360248447204,1.2150621118012421
synapse_dropout,0.0,44,1816,excitatory,1,0.0,0.9528204798698425,3.183229813664596,3.4083850931677016
