error_model,level,mean_kappa_lost,seed,evaluation,group,cell_type,n_cells,metric,value,ceiling_value
neuron_removal,0.5,0.5121644475964321,44,held_out,unobserved,all,1250,fluctuation_r2,0.048216402530670166,0.9678143858909607
neuron_removal,0.5,0.5121644475964321,44,perturbation,unobserved,excitatory,1011,delta_activity_r2,0.18224135788108586,0.98092473242357
neuron_removal,0.5,0.5121644475964321,44,perturbation,unobserved,excitatory,1011,delta_fluctuation_r2,0.14286446571350098,0.8913301229476929
neuron_removal,0.5,0.5121644475964321,44,perturbation,unobserved,inhibitory,179,delta_activity_r2,-0.3923136154584814,0.9715826963515085
neuron_removal,0.5,0.5121644475964321,44,perturbation,unobserved,inhibitory,179,delta_fluctuation_r2,-0.08738863468170166,0.8989797830581665
neuron_removal,0.5,0.5121644475964321,44,perturbation,targeted,inhibitory,60,delta_activity_r2,-0.9358142374699832,0.9970223677329394
neuron_removal,0.5,0.5121644475964321,44,perturbation,targeted,inhibitory,60,delta_fluctuation_r2,-0.6437466144561768,0.9167075753211975
synapse_dropout,0.1,0.10061470438912809,44,held_out,observed,all,2500,activity_r2,0.8334858916493486,0.9998987787282803
synapse_dropout,0.1,0.10061470438912809,44,held_out,observed,all,2500,fluctuation_r2,0.7748702764511108,0.9965047836303711
synapse_dropout,0.1,0.10061470438912809,44,held_out,unobserved,all,2500,activity_r2,0.7169489777926767,0.9999280613774816
synapse_dropout,0.1,0.10061470438912809,44,held_out,unobserved,all,2500,fluctuation_r2,0.6876894235610962,0.9966070652008057
synapse_dropout,0.1,0.10061470438912809,44,perturbation,unobserved,excitatory,2003,delta_activity_r2,0.7609511361561514,0.9993396584592613
synapse_dropout,0.1,0.10061470438912809,44,perturbation,unobserved,excitatory,2003,delta_fluctuation_r2,0.6498875617980957,0.9916563630104065
synapse_dropout,0.1,0.10061470438912809,44,perturbation,unobserved,inhibitory,373,delta_activity_r2,0.6664710131586488,0.9993146360140089
synapse_dropout,0.1,0.10061470438912809,44,perturbation,unobserved,inhibitory,373,delta_fluctuation_r2,0.6010249257087708,0.9927361607551575
synapse_dropout,0.1,0.10061470438912809,44,perturbation,targeted,inhibitory,124,delta_activity_r2,0.431882143754609,0.9997619566864163
synapse_dropout,0.1,0.10061470438912809,44,perturbation,targeted,inhibitory,124,delta_fluctuation_r2,0.44691145420074463,0.9941699504852295
synapse_dropout,0.2,0.19950495211395736,44,held_out,observed,all,2500,activity_r2,0.7097061762817667,0.9998987787282803
synapse_dropout,0.2,0.19950495211395736,44,held_out,observed,all,2500,fluctuation_r2,0.6350237131118774,0.9965047836303711
synapse_dropout,0.2,0.19950495211395736,44,held_out,unobserved,all,2500,activity_r2,0.5797390682218562,0.9999280613774816
synapse_dropout,0.2,0.19950495211395736,44,held_out,unobserved,all,2500,fluctuation_r2,0.5470113754272461,0.9966070652008057
synapse_dropout,0.2,0.19950495211395736,44,perturbation,unobserved,excitatory,2003,delta_activity_r2,0.515694149952491,0.9993396584592613
synapse_dropout,0.2,0.19950495211395736,44,perturbation,unobserved,excitatory,2003,delta_fluctuation_r2,0.4639579653739929,0.9916563630104065
synapse_dropout,0.2,0.19950495211395736,44,perturbation,unobserved,inhibitory,373,delta_activity_r2,0.3726377919119962,0.9993146360140089
synapse_dropout,0.2,0.19950495211395736,44,perturbation,unobserved,inhibitory,373,delta_fluctuation_r2,0.3425059914588928,0.9927361607551575
synapse_dropout,0.2,0.19950495211395736,44,perturbation,targeted,inhibitory,124,delta_activity_r2,0.33655022561246273,0.9997619566864163
synapse_dropout,0.2,0.19950495211395736,44,perturbation,targeted,inhibitory,124,delta_fluctuation_r2,0.3233151435852051,0.9941699504852295
synapse_dropout,0.3,0.2993897640033072,44,held_out,observed,all,2500,activity_r2,0.39848104407838336,0.9998987787282803
synapse_dropout,0.3,0.2993897640033072,44,held_out,observed,all,2500,fluctuation_r2,0.3935984969139099,0.9965047836303711
synapse_dropout,0.3,0.2993897640033072,44,held_out,unobserved,all,2500,activity_r2,0.3835221141735714,0.9999280613774816
synapse_dropout,0.3,0.2993897640033072,44,held_out,unobserved,all,2500,fluctuation_r2,0.3654966950416565,0.9966070652008057
synapse_dropout,0.3,0.2993897640033072,44,perturbation,unobserved,excitatory,2003,delta_activity_r2,0.4584281203166146,0.9993396584592613
synapse_dropout,0.3,0.2993897640033072,44,perturbation,unobserved,excitatory,2003,delta_fluctuation_r2,0.3393486738204956,0.9916563630104065
synapse_dropout,0.3,0.2993897640033072,44,perturbation,unobserved,inhibitory,373,delta_activity_r2,0.34524397017046893,0.9993146360140089
synapse_dropout,0.3,0.2993897640033072,44,perturbation,unobserved,inhibitory,373,delta_fluctuation_r2,0.12902545928955078,0.9927361607551575
synapse_dropout,0.3,0.2993897640033072,44,perturbation,targeted,inhibitory,124,delta_activity_r2,0.253260784114671,0.9997619566864163
synapse_dropout,0.3,0.2993897640033072,44,perturbation,targeted,inhibitory,124,delta_fluctuation_r2,0.23341023921966553,0.9941699504852295
synapse_dropout,0.4,0.39899975724522746,44,held_out,observed,all,2500,activity_r2,0.3360361951539781,0.9998987787282803
synapse_dropout,0.4,0.39899975724522746,44,held_out,observed,all,2500,fluctuation_r2,0.31411898136138916,0.9965047836303711
synapse_dropout,0.4,0.39899975724522746,44,held_out,unobserved,all,2500,activity_r2,0.32896786702508474,0.9999280613774816
synapse_dropout,0.4,0.39899975724522746,44,held_out,unobserved,all,2500,fluctuation_r2,0.3056020140647888,0.9966070652008057
synapse_dropout,0.4,0.39899975724522746,44,perturbation,unobserved,excitatory,2003,delta_activity_r2,0.4217302950960087,0.9993396584592613
synapse_dropout,0.4,0.39899975724522746,44,perturbation,unobserved,excitatory,2003,delta_fluctuation_r2,0.3183658719062805,0.9916563630104065
synapse_dropout,0.4,0.39899975724522746,44,perturbation,unobserved,inhibitory,373,delta_activity_r2,0.10610835220570514,0.9993146360140089
synapse_dropout,0.4,0.39899975724522746,44,perturbation,unobserved,inhibitory,373,delta_fluctuation_r2,0.08745503425598145,0.9927361607551575
synapse_dropout,0.4,0.39899975724522746,44,perturbation,targeted,inhibitory,124,delta_activity_r2,0.13429971751017789,0.9997619566864163
synapse_dropout,0.4,0.39899975724522746,44,perturbation,targeted,inhibitory,124,delta_fluctuation_r2,0.1617182493209839,0.9941699504852295
synapse_dropout,0.5,0.49840233617665325,44,held_out,observed,all,2500,activity_r2,0.2823218691278576,0.9998987787282803
synapse_dropout,0.5,0.49840233617665325,44,held_out,observed,all,2500,fluctuation_r2,0.25519102811813354,0.9965047836303711
synapse_dropout,0.5,0.49840233617665325,44,held_out,unobserved,all,2500,activity_r2,0.29227424179211026,0.9999280613774816
synapse_dropout,0.5,0.49840233617665325,44,held_out,unobserved,all,2500,fluctuation_r2,0.25932860374450684,0.9966070652008057
synapse_dropout,0.5,0.49840233617665325,44,perturbation,unobserved,excitatory,2003,delta_activity_r2,-0.04841251265648583,0.9993396584592613
synapse_dropout,0.5,0.49840233617665325,44,perturbation,unobserved,excitatory,2003,delta_fluctuation_r2,0.16655981540679932,0.9916563630104065
synapse_dropout,0.5,0.49840233617665325,44,perturbation,unobserved,inhibitory,373,delta_activity_r2,-1.110040606501069,0.9993146360140089
synapse_dropout,0.5,0.49840233617665325,44,perturbation,unobserved,inhibitory,373,delta_fluctuation_r2,-0.1995772123336792,0.9927361607551575
synapse_dropout,0.5,0.49840233617665325,44,perturbation,targeted,inhibitory,124,delta_activity_r2,-0.13726389738801115,0.9997619566864163
synapse_dropout,0.5,0.49840233617665325,44,perturbation,targeted,inhibitory,124,delta_fluctuation_r2,0.028351306915283203,0.9941699504852295
